PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Inhibition at 7.44 uM
RESULT_TYPE,,,,,,,FLOAT
RESULT_DESCR,,,,,,,Normalized percent inhibition of the primary screen at a compound concentration of 7.44 micromolar.
RESULT_UNIT,,,,,,,PERCENT
RESULT_ATTR_CONC_MICROMOL,,,,,,,7.44
325,310292421,117083927,Inactive,43,,,31.88
326,310287755,117079537,Inactive,43,,,31.84
327,310289655,117081335,Inactive,43,,,31.82
328,310294782,117086127,Inactive,43,,,31.81
329,310285151,117076510,Inactive,43,,,31.8
330,310285156,117076517,Inactive,43,,,31.8
331,310282422,117073478,Inactive,43,,,31.75
332,310285080,117076409,Inactive,43,,,31.74
333,310300658,117091670,Inactive,43,,,31.74
334,310286725,117078613,Inactive,43,,,31.71
335,310287803,117079582,Inactive,43,,,31.71
336,310297778,117088935,Inactive,43,,,31.68
337,310295468,117086766,Inactive,43,,,31.67
338,310285274,136962169,Inactive,43,,,31.61
339,310284343,117075653,Inactive,43,,,31.6
340,310295688,117086976,Inactive,43,,,31.56
341,310295283,117086594,Inactive,42,,,31.54
342,310295318,117086627,Inactive,42,,,31.5
343,310285134,117076485,Inactive,42,,,31.48
344,310286829,117078691,Inactive,42,,,31.45
345,310286360,117077986,Inactive,42,,,31.45
346,310286226,136962242,Inactive,42,,,31.45
347,310300614,117091628,Inactive,42,,,31.45
348,310284379,117075694,Inactive,42,,,31.43
349,310296213,117087466,Inactive,42,,,31.41
350,310290186,117081842,Inactive,42,,,31.4
351,310285560,117077048,Inactive,42,,,31.32
352,310283510,117074814,Inactive,42,,,31.32
353,310303781,71109457,Inactive,42,,,31.29
354,310285559,117077047,Inactive,42,,,31.27
355,310294057,117085449,Inactive,42,,,31.24
356,310294537,117085431,Inactive,42,,,31.2
357,310292752,117084236,Inactive,42,,,31.2
358,310286964,72946276,Inactive,42,,,31.18
359,310288091,117079844,Inactive,42,,,31.16
360,310286361,117077988,Inactive,42,,,31.16
361,310295689,117086977,Inactive,42,,,31.15
362,310293177,117084630,Inactive,42,,,31.13
363,310286648,117078477,Inactive,42,,,31.06
364,310285176,117076548,Inactive,42,,,30.98
365,310295462,117086761,Inactive,42,,,30.98
366,310300313,117091344,Inactive,42,,,30.98
367,310286010,117077497,Inactive,42,,,30.97
368,310289977,117081646,Inactive,42,,,30.96
369,310303607,117094446,Inactive,42,,,30.92
370,310303499,117094342,Inactive,42,,,30.89
371,310284715,25221254,Inactive,42,,,30.87
372,310292805,117084287,Inactive,42,,,30.86
373,310297898,117089046,Inactive,41,,,30.76
374,310292670,117084159,Inactive,41,,,30.5
375,310297609,117088774,Inactive,41,,,30.49
376,310286401,117078052,Inactive,41,,,30.47
377,310296548,117087774,Inactive,41,,,30.42
378,310299874,117090927,Inactive,41,,,30.4
379,310302426,117093339,Inactive,41,,,30.38
380,310287925,117079692,Inactive,41,,,30.35
381,310295296,117086605,Inactive,41,,,30.26
382,310295313,117086622,Inactive,41,,,30.21
383,310300049,117091094,Inactive,41,,,30.2
384,310285876,117077390,Inactive,41,,,30.2
385,310297043,117088238,Inactive,41,,,30.17
386,310294423,117085796,Inactive,41,,,30.13
387,310288557,117080286,Inactive,41,,,30.13
388,310302522,117093429,Inactive,41,,,30.12
389,310296865,117088070,Inactive,41,,,30.11
390,310293025,117084489,Inactive,40,,,30.04
391,310303819,117094641,Inactive,40,,,30
392,310289472,117081159,Inactive,40,,,29.98
393,310286642,117078465,Inactive,40,,,29.96
394,310293558,117084983,Inactive,40,,,29.96
395,310285950,117077449,Inactive,40,,,29.94
396,310300046,117091091,Inactive,40,,,29.87
397,310284560,117075972,Inactive,40,,,29.85
398,310293926,117085326,Inactive,40,,,29.84
399,310290897,117082503,Inactive,40,,,29.8
400,310286828,117078690,Inactive,40,,,29.78
401,310300605,117091619,Inactive,40,,,29.77
402,310287184,117079024,Inactive,40,,,29.73
403,310293818,117085226,Inactive,40,,,29.7
404,310283105,117074206,Inactive,40,,,29.7
405,310294304,117085686,Inactive,40,,,29.68
406,310303640,117094475,Inactive,40,,,29.66
407,310284863,117076218,Inactive,40,,,29.64
408,310295471,117086769,Inactive,40,,,29.62
409,310284330,117075635,Inactive,40,,,29.57
410,310296309,117087554,Inactive,40,,,29.56
411,310303370,117094221,Inactive,40,,,29.54
412,310288157,117079905,Inactive,40,,,29.53
413,310292294,117083803,Inactive,40,,,29.5
414,310289312,117081008,Inactive,40,,,29.48
415,310300939,117091941,Inactive,40,,,29.48
416,310295139,117086457,Inactive,40,,,29.47
417,310291463,117083027,Inactive,40,,,29.42
418,310301742,117092702,Inactive,40,,,29.41
419,310301078,117092074,Inactive,40,,,29.39
420,310300476,117091499,Inactive,40,,,29.36
421,310291537,117083098,Inactive,39,,,29.33
422,310286495,117078200,Inactive,39,,,29.32
423,310300655,117091667,Inactive,39,,,29.26
424,310296105,117087362,Inactive,39,,,29.24
425,310294227,117085614,Inactive,39,,,29.09
426,310285031,117076332,Inactive,39,,,29.08
427,310303751,117094577,Inactive,39,,,29.08
428,310290788,117082402,Inactive,39,,,29.06
429,310297020,117088217,Inactive,39,,,29.05
430,310302102,117093038,Inactive,39,,,29.03
431,310295910,117087182,Inactive,39,,,29.02
432,310295915,117087187,Inactive,39,,,29
433,310300683,117091694,Inactive,39,,,28.99
434,310292143,117083664,Inactive,39,,,28.94
435,310295065,117086388,Inactive,39,,,28.93
436,310287650,117079447,Inactive,39,,,28.89
437,310294894,4862018,Inactive,39,,,28.87
438,310302379,117093296,Inactive,39,,,28.86
439,310303092,112905573,Inactive,39,,,28.86
440,310296821,117088029,Inactive,39,,,28.85
441,310295270,117086583,Inactive,39,,,28.85
442,310291280,117082851,Inactive,39,,,28.85
443,310294393,117085768,Inactive,39,,,28.82
444,310296834,117088042,Inactive,39,,,28.78
445,310300713,117091723,Inactive,39,,,28.73
446,310283543,117074856,Inactive,39,,,28.73
447,310286482,117078181,Inactive,39,,,28.7
448,310286626,117078435,Inactive,39,,,28.7
449,310294190,117085579,Inactive,39,,,28.68
450,310295719,117087003,Inactive,39,,,28.67
451,310294595,117085956,Inactive,39,,,28.66
452,310292371,117083879,Inactive,39,,,28.65
453,310294939,117086272,Inactive,38,,,28.61
454,310300494,117091515,Inactive,38,,,28.6
455,310295233,117086547,Inactive,38,,,28.59
456,310301129,117092122,Inactive,38,,,28.54
457,310284997,117076296,Inactive,38,,,28.54
458,310290045,117081713,Inactive,38,,,28.54
459,310285982,67062446,Inactive,38,,,28.51
460,310285947,117077447,Inactive,38,,,28.5
461,310289561,117081245,Inactive,38,,,28.48
462,310286161,136962239,Inactive,38,,,28.47
463,310285838,117077363,Inactive,38,,,28.41
464,310303603,117094442,Inactive,38,,,28.37
465,310286890,117078742,Inactive,38,,,28.33
466,310303198,117094059,Inactive,38,,,28.32
467,310292433,117083939,Inactive,38,,,28.27
468,310286752,136348916,Inactive,38,,,28.26
469,310286928,117078772,Inactive,38,,,28.23
470,310297517,117088687,Inactive,38,,,28.22
471,310285263,117076664,Inactive,38,,,28.22
472,310284372,117075687,Inactive,38,,,28.17
473,310302937,117093817,Inactive,38,,,28.15
474,310288076,117079829,Inactive,38,,,28.15
475,310292807,117084289,Inactive,38,,,28.1
476,310300663,117091674,Inactive,38,,,28.07
477,310286746,117078630,Inactive,38,,,28.05
478,310287194,117079033,Inactive,38,,,28.04
479,310284984,25221133,Inactive,38,,,28.02
480,310286818,117078682,Inactive,38,,,28.01
481,310293885,117085288,Inactive,38,,,27.97
482,310296122,117087378,Inactive,38,,,27.96
483,310301752,117092470,Inactive,38,,,27.93
484,310298010,117089149,Inactive,37,,,27.86
485,310301274,117092260,Inactive,37,,,27.85
486,310299031,117090121,Inactive,37,,,27.84
487,310290152,117081811,Inactive,37,,,27.84
488,310296882,117088087,Inactive,37,,,27.8
489,310286977,72946852,Inactive,37,,,27.75
490,310303063,117093931,Inactive,37,,,27.75
491,310292607,117084100,Inactive,37,,,27.73
492,310297239,117088424,Inactive,37,,,27.73
493,310298024,117089162,Inactive,37,,,27.68
494,310285282,136962171,Inactive,37,,,27.68
495,310293256,117084703,Inactive,37,,,27.67
496,310292309,117083818,Inactive,37,,,27.67
497,310294723,117086072,Inactive,37,,,27.67
498,310282636,117073746,Inactive,37,,,27.66
499,310302783,117093671,Inactive,37,,,27.65
500,310299271,117090351,Inactive,37,,,27.64
501,310293993,117085387,Inactive,37,,,27.63
502,310288235,117079978,Inactive,37,,,27.62
503,310291755,117083300,Inactive,37,,,27.6
504,310284390,117075707,Inactive,37,,,27.59
505,310300403,117091428,Inactive,37,,,27.54
506,310302540,17541285,Inactive,37,,,27.47
507,310294270,117085655,Inactive,37,,,27.47
508,310284316,117075617,Inactive,37,,,27.46
509,310294383,117085758,Inactive,37,,,27.45
510,310287934,117079700,Inactive,37,,,27.35
511,310294844,117086183,Inactive,37,,,27.34
512,310292196,117083708,Inactive,37,,,27.33
513,310301224,117092211,Inactive,37,,,27.32
514,310286461,117078144,Inactive,37,,,27.27
515,310289859,117081531,Inactive,37,,,27.26
516,310285348,136962186,Inactive,37,,,27.25
517,310294018,117085411,Inactive,37,,,27.22
518,310296917,117088120,Inactive,37,,,27.21
519,310291425,117082990,Inactive,37,,,27.21
520,310295073,117086396,Inactive,37,,,27.2
521,310290799,117082413,Inactive,37,,,27.18
522,310282913,11588556,Inactive,37,,,27.15
523,310303002,117093876,Inactive,36,,,27.14
524,310286594,117078373,Inactive,36,,,27.13
525,310293361,117084798,Inactive,36,,,27.13
526,310287868,117079641,Inactive,36,,,27.13
527,310287782,117079564,Inactive,36,,,27.07
528,310296830,117088038,Inactive,36,,,27.06
529,310288580,117080308,Inactive,36,,,27.06
530,310297381,117088557,Inactive,36,,,27.04
531,310287231,117079068,Inactive,36,,,27.04
532,310293163,117084618,Inactive,36,,,27.02
533,310287822,117079600,Inactive,36,,,27.02
534,310284605,117076041,Inactive,36,,,26.97
535,310286562,117078311,Inactive,36,,,26.95
536,310303679,117094510,Inactive,36,,,26.93
537,310294041,117085433,Inactive,36,,,26.92
538,310289776,117081454,Inactive,36,,,26.91
539,310301202,117092191,Inactive,36,,,26.9
540,310288117,117079867,Inactive,36,,,26.87
541,310293935,117085335,Inactive,36,,,26.87
542,310285765,117077304,Inactive,36,,,26.84
543,310295316,117086625,Inactive,36,,,26.8
544,310300572,117091588,Inactive,36,,,26.8
545,310287721,117079509,Inactive,36,,,26.8
546,310299182,117090267,Inactive,36,,,26.76
547,310292984,117084453,Inactive,36,,,26.75
548,310295218,117086532,Inactive,36,,,26.75
549,310288333,117080071,Inactive,36,,,26.75
550,310300170,117091206,Inactive,36,,,26.75
551,310303013,117093887,Inactive,36,,,26.72
552,310295773,117087050,Inactive,36,,,26.71
553,310296686,117087903,Inactive,36,,,26.7
554,310289130,117080835,Inactive,36,,,26.69
555,310285273,136962168,Inactive,36,,,26.65
556,310296468,117087701,Inactive,36,,,26.64
557,310287690,117079481,Inactive,36,,,26.6
558,310290898,117082504,Inactive,36,,,26.6
559,310285225,117076614,Inactive,36,,,26.6
560,310295785,117087062,Inactive,36,,,26.58
561,310302013,117092957,Inactive,36,,,26.55
562,310287417,117079238,Inactive,36,,,26.49
563,310290592,117082216,Inactive,36,,,26.48
564,310296596,117087820,Inactive,36,,,26.45
565,310301266,117092252,Inactive,36,,,26.45
566,310300554,117091571,Inactive,36,,,26.43
567,310300053,117091097,Inactive,35,,,26.41
568,310287007,72946277,Inactive,35,,,26.4
569,310298973,117090065,Inactive,35,,,26.4
570,310294570,117085934,Inactive,35,,,26.38
571,310298311,117089438,Inactive,35,,,26.35
572,310286412,117078068,Inactive,35,,,26.33
573,310291449,117083014,Inactive,35,,,26.33
574,310296374,117087616,Inactive,35,,,26.32
575,310298194,117089327,Inactive,35,,,26.29
576,310302909,117093790,Inactive,35,,,26.29
577,310303612,117094451,Inactive,35,,,26.28
578,310297272,117088455,Inactive,35,,,26.24
579,310295465,84506666,Inactive,35,,,26.22
580,310286540,71295836,Inactive,35,,,26.21
581,310294184,117085574,Inactive,35,,,26.21
582,310297038,117088233,Inactive,35,,,26.19
583,310294078,117085469,Inactive,35,,,26.17
584,310285058,117076371,Inactive,35,,,26.15
585,310288605,117080333,Inactive,35,,,26.12
586,310284563,117075975,Inactive,35,,,26.12
587,310292517,117084015,Inactive,35,,,26.1
588,310294178,117085568,Inactive,35,,,26.09
589,310300141,117091177,Inactive,35,,,26.08
590,310285291,136962175,Inactive,35,,,26.04
591,310299148,117090234,Inactive,35,,,26.02
592,310292464,117083968,Inactive,35,,,26.02
593,310294778,112923941,Inactive,35,,,26.02
